state,x,y
Abia,25,-181
Adamawa,262,46
Akwa Ibom,39,-218
Anambra,-5,-156
Bauchi,119,70
Bayelsa,-48,-230
Benue,68,-95
Borno,293,170
Cross River,71,-172
Delta,-60,-193
Ebonyi,47,-150
Edo,-46,-133
Ekiti,-87,-80
Enugu,15,-137
Gombe,196,70
Imo,-1,-190
Jigawa,113,163
Kaduna,34,66
Kano,61,142
Katsina,13,174
Kebbi,-149,123
Kogi,-21,-78
Kwara,-113,-29
Lagos,-168,-147
Nasarawa,48,-33
Niger,-81,36
Ogun,-184,-114
Ondo,-102,-122
Osun,-125,-90
Oyo,-178,-58
Plateau,114,2
Rivers,-12,-223
Sokoto,-93,207
Taraba,163,-55
Yobe,204,163
Zamfara,-62,153
